Product,Quantity,Region,Production Method,Water Footprint (L),Category,Water Scarcity Index,Scarcity Level,Alternative Method,Potential Water Savings (%)
Wheat,50,Europe,Industrial,98540.72,Other,0.4,Medium,Efficient Method,20
Bed,1,Asia,Industrial,7364.63,Furniture,0.7,High,Organic,25
Leather Bag,10,Europe,Industrial,177824.81,Other,0.4,Medium,Efficient Method,20
Car,100,Europe,Recycled,15965264.08,Vehicle,0.4,Medium,Efficient Method,20
Steel,200,Asia,Conventional,10257.86,Raw Material,0.7,High,Efficient Method,20
Mobile Phone,20,Asia,Industrial,23319.15,Other,0.7,High,Efficient Method,20
Almonds,5,Africa,Handmade,59707.0,Other,0.8,Very High,Efficient Method,20
Bicycle,5,South America,Recycled,75469.76,Other,0.6,Medium-High,Efficient Method,20
Wheat,1,Africa,Recycled,1679.84,Other,0.8,Very High,Efficient Method,20
Tomatoes,100,South America,Industrial,20464.48,Other,0.6,Medium-High,Efficient Method,20
Chair,10,Australia,Industrial,25418.36,Other,0.5,Medium,Efficient Method,20
Chair,50,South America,Organic,129091.48,Other,0.6,Medium-High,Efficient Method,20
Rice,200,North America,Industrial,514595.25,Food,0.3,Low,Efficient Method,20
Bicycle,100,Asia,Recycled,1395189.39,Other,0.7,High,Efficient Method,20
Car,5,Africa,Conventional,687250.76,Vehicle,0.8,Very High,Efficient Method,20
Sofa,1,Africa,Industrial,8388.67,Other,0.8,Very High,Efficient Method,20
Wheat,10,Australia,Industrial,18293.99,Other,0.5,Medium,Efficient Method,20
Mobile Phone,50,Australia,Conventional,63963.65,Other,0.5,Medium,Efficient Method,20
Leather Bag,20,Africa,Recycled,356600.04,Other,0.8,Very High,Efficient Method,20
Glass Bottle,200,Asia,Handmade,80137.22,Other,0.7,High,Efficient Method,20
Sofa,100,South America,Organic,868475.23,Other,0.6,Medium-High,Efficient Method,20
Leather Bag,10,South America,Organic,182488.95,Other,0.6,Medium-High,Efficient Method,20
Sofa,200,Australia,Conventional,1777925.02,Other,0.5,Medium,Efficient Method,20
Laptop,200,Asia,Industrial,2127380.49,Electronics,0.7,High,Refurbished Components,35
Mobile Phone,5,North America,Conventional,5539.96,Other,0.3,Low,Efficient Method,20
Chair,20,South America,Industrial,47164.14,Other,0.6,Medium-High,Efficient Method,20
Chair,50,Africa,Organic,124747.78,Other,0.8,Very High,Efficient Method,20
Steel,5,South America,Conventional,251.24,Raw Material,0.6,Medium-High,Efficient Method,20
Bicycle,20,Australia,Recycled,286683.39,Other,0.5,Medium,Efficient Method,20
Car,200,Australia,Conventional,31120966.82,Vehicle,0.5,Medium,Efficient Method,20
Glass Bottle,20,North America,Conventional,8316.24,Other,0.3,Low,Efficient Method,20
Mobile Phone,100,Asia,Organic,118044.81,Other,0.7,High,Efficient Method,20
Leather Bag,5,Europe,Industrial,76759.66,Other,0.4,Medium,Efficient Method,20
Car,5,Africa,Handmade,711436.99,Vehicle,0.8,Very High,Efficient Method,20
Almonds,10,Asia,Industrial,107666.05,Other,0.7,High,Efficient Method,20
Plastic,200,South America,Organic,35482.04,Other,0.6,Medium-High,Efficient Method,20
Wood,50,South America,Conventional,15137.11,Raw Material,0.6,Medium-High,Efficient Method,20
Mobile Phone,1,Europe,Organic,1316.67,Other,0.4,Medium,Efficient Method,20
Steel,100,Europe,Conventional,5135.89,Raw Material,0.4,Medium,Efficient Method,20
Wheat,100,North America,Conventional,179619.73,Other,0.3,Low,Efficient Method,20
Paper,200,North America,Handmade,2015.9,Stationery,0.3,Low,Efficient Method,20
Tomatoes,1,Australia,Recycled,212.97,Other,0.5,Medium,Efficient Method,20
Sofa,1,South America,Conventional,9630.67,Other,0.6,Medium-High,Efficient Method,20
Chair,200,Australia,Recycled,526192.69,Other,0.5,Medium,Efficient Method,20
Bicycle,10,Europe,Industrial,164653.7,Other,0.4,Medium,Efficient Method,20
Sofa,5,North America,Conventional,45098.19,Other,0.3,Low,Efficient Method,20
Wheat,100,South America,Organic,165618.59,Other,0.6,Medium-High,Efficient Method,20
Wood,5,Africa,Recycled,1625.22,Raw Material,0.8,Very High,Efficient Method,20
Corn,1,Asia,Industrial,1242.08,Other,0.7,High,Efficient Method,20
Plastic,10,Australia,Industrial,1832.01,Other,0.5,Medium,Efficient Method,20
Mobile Phone,1,Europe,Industrial,1252.9,Other,0.4,Medium,Efficient Method,20
Bicycle,5,Australia,Organic,71009.38,Other,0.5,Medium,Efficient Method,20
Leather Bag,20,Australia,Industrial,324544.93,Other,0.5,Medium,Efficient Method,20
Glass Bottle,5,Europe,Handmade,1860.13,Other,0.4,Medium,Efficient Method,20
Laptop,5,Europe,Industrial,48917.47,Electronics,0.4,Medium,Refurbished Components,35
Wheat,5,North America,Recycled,9173.88,Other,0.3,Low,Efficient Method,20
Leather Bag,5,Asia,Conventional,90792.46,Other,0.7,High,Efficient Method,20
Tomatoes,200,Africa,Industrial,43834.35,Other,0.8,Very High,Efficient Method,20
Bed,10,Africa,Organic,78819.53,Furniture,0.8,Very High,Efficient Method,20
Mobile Phone,200,South America,Recycled,224334.04,Other,0.6,Medium-High,Efficient Method,20
Plastic,1,North America,Organic,163.8,Other,0.3,Low,Efficient Method,20
Leather Bag,10,Asia,Recycled,178617.78,Other,0.7,High,Efficient Method,20
Wood,200,Australia,Industrial,63626.13,Raw Material,0.5,Medium,Efficient Method,20
Sofa,20,South America,Handmade,178649.58,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,10,North America,Recycled,28341.12,Other,0.3,Low,Efficient Method,20
Wood,50,Asia,Conventional,16410.56,Raw Material,0.7,High,Efficient Method,20
Laptop,5,Asia,Industrial,48379.27,Electronics,0.7,High,Refurbished Components,35
Tomatoes,20,Africa,Organic,4636.95,Other,0.8,Very High,Efficient Method,20
Rice,100,Australia,Industrial,241111.99,Food,0.5,Medium,Efficient Method,20
Bicycle,10,South America,Handmade,142834.37,Other,0.6,Medium-High,Efficient Method,20
Leather Bag,50,Asia,Handmade,800225.85,Other,0.7,High,Efficient Method,20
Corn,100,South America,Industrial,120581.2,Other,0.6,Medium-High,Efficient Method,20
Tomatoes,1,North America,Organic,214.39,Other,0.3,Low,Efficient Method,20
Bed,200,South America,Industrial,1606624.4,Furniture,0.6,Medium-High,Organic,25
Bed,10,Africa,Industrial,78830.16,Furniture,0.8,Very High,Organic,25
Bed,5,South America,Handmade,36821.81,Furniture,0.6,Medium-High,Efficient Method,20
Almonds,1,Europe,Handmade,11241.24,Other,0.4,Medium,Efficient Method,20
Steel,100,Europe,Industrial,5463.27,Raw Material,0.4,Medium,Recycled Steel,40
Paper,100,Asia,Recycled,1032.84,Stationery,0.7,High,Efficient Method,20
Table,50,Asia,Industrial,229369.98,Furniture,0.7,High,Efficient Method,20
Bicycle,1,Asia,Handmade,14390.53,Other,0.7,High,Efficient Method,20
Paper,1,Europe,Recycled,10.3,Stationery,0.4,Medium,Efficient Method,20
Rice,10,Asia,Organic,23665.19,Food,0.7,High,Aerobic Rice Farming,35
Leather Bag,5,Africa,Conventional,81768.78,Other,0.8,Very High,Efficient Method,20
Leather Bag,50,Asia,Recycled,783675.52,Other,0.7,High,Efficient Method,20
Chair,1,South America,Organic,2321.83,Other,0.6,Medium-High,Efficient Method,20
Paper,200,Europe,Organic,1807.32,Stationery,0.4,Medium,Efficient Method,20
Sofa,200,Australia,Handmade,1721911.2,Other,0.5,Medium,Efficient Method,20
Sofa,100,Australia,Recycled,904757.53,Other,0.5,Medium,Efficient Method,20
Tomatoes,100,Europe,Industrial,20117.91,Other,0.4,Medium,Efficient Method,20
Bicycle,50,Asia,Industrial,687630.95,Other,0.7,High,Efficient Method,20
Corn,20,Asia,Recycled,22394.82,Other,0.7,High,Efficient Method,20
Rice,1,Africa,Handmade,2714.08,Food,0.8,Very High,Efficient Method,20
Tomatoes,10,Europe,Recycled,2078.83,Other,0.4,Medium,Efficient Method,20
Plastic,100,Africa,Handmade,17494.31,Other,0.8,Very High,Efficient Method,20
Mobile Phone,50,Europe,Recycled,54853.07,Other,0.4,Medium,Efficient Method,20
Cotton Shirt,200,Australia,Organic,537427.93,Other,0.5,Medium,Efficient Method,20
Mobile Phone,50,Africa,Recycled,63135.44,Other,0.8,Very High,Efficient Method,20
Corn,50,North America,Organic,58913.11,Other,0.3,Low,Efficient Method,20
Mobile Phone,20,North America,Conventional,23808.43,Other,0.3,Low,Efficient Method,20
Rice,200,North America,Recycled,463654.72,Food,0.3,Low,Efficient Method,20
Mobile Phone,100,Europe,Industrial,110528.26,Other,0.4,Medium,Efficient Method,20
Wood,20,North America,Conventional,5760.51,Raw Material,0.3,Low,Efficient Method,20
Cotton Shirt,100,Europe,Industrial,258238.17,Other,0.4,Medium,Efficient Method,20
Table,1,North America,Handmade,5376.72,Furniture,0.3,Low,Engineered Wood,20
Bed,100,North America,Conventional,765678.76,Furniture,0.3,Low,Efficient Method,20
Almonds,100,North America,Conventional,1079913.04,Other,0.3,Low,Efficient Method,20
Table,100,South America,Recycled,513594.65,Furniture,0.6,Medium-High,Efficient Method,20
Paper,5,South America,Industrial,53.97,Stationery,0.6,Medium-High,Recycled Paper,45
Chair,100,South America,Handmade,254509.07,Other,0.6,Medium-High,Efficient Method,20
Rice,20,Africa,Conventional,52510.69,Food,0.8,Very High,Efficient Method,20
Glass Bottle,20,Australia,Industrial,7324.51,Other,0.5,Medium,Efficient Method,20
Bicycle,1,South America,Recycled,15506.86,Other,0.6,Medium-High,Efficient Method,20
Tomatoes,50,Europe,Conventional,10325.98,Other,0.4,Medium,Efficient Method,20
Table,50,Australia,Organic,239168.06,Furniture,0.5,Medium,Efficient Method,20
Car,20,Europe,Industrial,3193422.21,Vehicle,0.4,Medium,Recycled Materials,25
Car,10,Africa,Recycled,1622834.14,Vehicle,0.8,Very High,Efficient Method,20
Sofa,50,South America,Organic,433498.11,Other,0.6,Medium-High,Efficient Method,20
Glass Bottle,5,Asia,Conventional,2029.03,Other,0.7,High,Efficient Method,20
Steel,100,North America,Organic,5330.55,Raw Material,0.3,Low,Efficient Method,20
Table,200,Australia,Conventional,994035.4,Furniture,0.5,Medium,Efficient Method,20
Table,5,North America,Industrial,24388.5,Furniture,0.3,Low,Efficient Method,20
Rice,100,Australia,Conventional,257599.27,Food,0.5,Medium,Efficient Method,20
Sofa,10,Australia,Organic,93907.23,Other,0.5,Medium,Efficient Method,20
Leather Bag,100,South America,Conventional,1722300.7,Other,0.6,Medium-High,Efficient Method,20
Almonds,50,Asia,Conventional,566087.3,Other,0.7,High,Efficient Method,20
Steel,20,Australia,Conventional,1048.49,Raw Material,0.5,Medium,Efficient Method,20
Tomatoes,50,South America,Recycled,10582.61,Other,0.6,Medium-High,Efficient Method,20
Plastic,100,Africa,Organic,18143.08,Other,0.8,Very High,Efficient Method,20
Bicycle,100,South America,Industrial,1607090.38,Other,0.6,Medium-High,Efficient Method,20
Corn,10,South America,Handmade,13079.68,Other,0.6,Medium-High,Efficient Method,20
Chair,50,Australia,Handmade,135124.24,Other,0.5,Medium,Efficient Method,20
Paper,10,South America,Recycled,90.52,Stationery,0.6,Medium-High,Efficient Method,20
Leather Bag,20,Asia,Industrial,347794.48,Other,0.7,High,Efficient Method,20
Chair,100,Asia,Organic,264145.41,Other,0.7,High,Efficient Method,20
Car,10,Africa,Recycled,1550728.5,Vehicle,0.8,Very High,Efficient Method,20
Steel,100,Asia,Recycled,4625.67,Raw Material,0.7,High,Efficient Method,20
Leather Bag,1,Europe,Organic,17091.62,Other,0.4,Medium,Efficient Method,20
Wheat,50,Africa,Handmade,86870.32,Other,0.8,Very High,Efficient Method,20
Wood,5,Asia,Conventional,1437.06,Raw Material,0.7,High,Efficient Method,20
Paper,5,North America,Industrial,52.95,Stationery,0.3,Low,Recycled Paper,45
Bicycle,50,North America,Recycled,683581.89,Other,0.3,Low,Efficient Method,20
Corn,20,Asia,Handmade,23545.95,Other,0.7,High,Efficient Method,20
Laptop,20,South America,Organic,180937.67,Electronics,0.6,Medium-High,Efficient Method,20
Steel,1,Australia,Conventional,52.03,Raw Material,0.5,Medium,Efficient Method,20
Plastic,200,South America,Industrial,39515.2,Other,0.6,Medium-High,Efficient Method,20
Tomatoes,50,Asia,Conventional,11061.61,Other,0.7,High,Efficient Method,20
Glass Bottle,200,Australia,Recycled,75521.04,Other,0.5,Medium,Efficient Method,20
Corn,100,North America,Recycled,117309.7,Other,0.3,Low,Efficient Method,20
Car,1,Asia,Organic,137027.58,Vehicle,0.7,High,Efficient Method,20
Bed,5,North America,Conventional,38001.23,Furniture,0.3,Low,Efficient Method,20
Table,200,Africa,Industrial,966226.59,Furniture,0.8,Very High,Efficient Method,20
Plastic,1,Europe,Conventional,173.52,Other,0.4,Medium,Efficient Method,20
Rice,50,North America,Handmade,129067.06,Food,0.3,Low,Efficient Method,20
Paper,20,Australia,Conventional,215.45,Stationery,0.5,Medium,Efficient Method,20
Cotton Shirt,1,South America,Handmade,2911.5,Other,0.6,Medium-High,Efficient Method,20
Rice,5,South America,Handmade,11422.71,Food,0.6,Medium-High,Efficient Method,20
Chair,100,North America,Handmade,250136.22,Other,0.3,Low,Efficient Method,20
Table,200,Australia,Industrial,1000804.17,Furniture,0.5,Medium,Efficient Method,20
Wood,20,South America,Recycled,5416.46,Raw Material,0.6,Medium-High,Efficient Method,20
Cotton Shirt,10,South America,Recycled,27809.41,Other,0.6,Medium-High,Efficient Method,20
Plastic,50,Africa,Organic,8354.48,Other,0.8,Very High,Efficient Method,20
Tomatoes,5,Asia,Handmade,1097.33,Other,0.7,High,Efficient Method,20
Steel,100,North America,Industrial,4987.2,Raw Material,0.3,Low,Recycled Steel,40
Glass Bottle,5,Australia,Recycled,2057.42,Other,0.5,Medium,Efficient Method,20
Bed,200,North America,Conventional,1700797.8,Furniture,0.3,Low,Efficient Method,20
Car,1,South America,Handmade,153445.64,Vehicle,0.6,Medium-High,Efficient Method,20
Mobile Phone,10,Africa,Recycled,11445.27,Other,0.8,Very High,Efficient Method,20
Chair,10,Europe,Handmade,26426.5,Other,0.4,Medium,Efficient Method,20
Steel,50,Asia,Recycled,2731.71,Raw Material,0.7,High,Efficient Method,20
Bed,10,Europe,Handmade,77348.22,Furniture,0.4,Medium,Efficient Method,20
Glass Bottle,10,Asia,Handmade,3439.44,Other,0.7,High,Efficient Method,20
Car,10,Africa,Conventional,1539397.13,Vehicle,0.8,Very High,Efficient Method,20
Sofa,10,Africa,Conventional,85381.6,Other,0.8,Very High,Efficient Method,20
Wood,100,South America,Conventional,32890.85,Raw Material,0.6,Medium-High,Efficient Method,20
Chair,50,South America,Organic,129566.54,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,200,Europe,Industrial,507165.96,Other,0.4,Medium,Efficient Method,20
Plastic,1,South America,Conventional,174.3,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,200,Europe,Handmade,217728.23,Other,0.4,Medium,Efficient Method,20
Laptop,50,Australia,Conventional,472927.65,Electronics,0.5,Medium,Efficient Method,20
Plastic,1,Australia,Handmade,187.22,Other,0.5,Medium,Efficient Method,20
Tomatoes,20,Africa,Conventional,4644.2,Other,0.8,Very High,Efficient Method,20
Laptop,200,North America,Organic,1893204.3,Electronics,0.3,Low,Efficient Method,20
Glass Bottle,10,Africa,Conventional,3953.81,Other,0.8,Very High,Efficient Method,20
Table,100,North America,Handmade,463457.61,Furniture,0.3,Low,Engineered Wood,20
Car,10,South America,Handmade,1472355.91,Vehicle,0.6,Medium-High,Efficient Method,20
Paper,200,South America,Handmade,1923.37,Stationery,0.6,Medium-High,Efficient Method,20
Wood,5,Africa,Organic,1608.17,Raw Material,0.8,Very High,Efficient Method,20
Tomatoes,100,Australia,Handmade,21885.32,Other,0.5,Medium,Efficient Method,20
Plastic,50,Australia,Recycled,9489.54,Other,0.5,Medium,Efficient Method,20
Almonds,10,Asia,Organic,103221.32,Other,0.7,High,Efficient Method,20
Cotton Shirt,50,South America,Handmade,140516.73,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,20,Africa,Handmade,23814.81,Other,0.8,Very High,Efficient Method,20
Steel,100,Asia,Industrial,4951.99,Raw Material,0.7,High,Recycled Steel,40
Paper,10,South America,Industrial,91.45,Stationery,0.6,Medium-High,Recycled Paper,45
Mobile Phone,1,Europe,Handmade,1126.11,Other,0.4,Medium,Efficient Method,20
Laptop,50,Europe,Organic,549576.31,Electronics,0.4,Medium,Efficient Method,20
Table,5,South America,Handmade,26398.02,Furniture,0.6,Medium-High,Engineered Wood,20
Corn,5,Africa,Handmade,6323.65,Other,0.8,Very High,Efficient Method,20
Tomatoes,50,Australia,Industrial,10615.74,Other,0.5,Medium,Efficient Method,20
Plastic,100,Africa,Conventional,18342.1,Other,0.8,Very High,Efficient Method,20
Wheat,10,Europe,Handmade,17841.09,Other,0.4,Medium,Efficient Method,20
Wood,1,North America,Handmade,292.23,Raw Material,0.3,Low,Recycled Wood,30
Glass Bottle,1,North America,Handmade,383.12,Other,0.3,Low,Efficient Method,20
Corn,10,South America,Organic,11353.9,Other,0.6,Medium-High,Efficient Method,20
Corn,200,Africa,Handmade,256864.23,Other,0.8,Very High,Efficient Method,20
Glass Bottle,100,North America,Conventional,35809.52,Other,0.3,Low,Efficient Method,20
Tomatoes,20,Asia,Organic,4635.04,Other,0.7,High,Efficient Method,20
Steel,100,North America,Recycled,5417.9,Raw Material,0.3,Low,Efficient Method,20
Cotton Shirt,200,Australia,Industrial,541301.24,Other,0.5,Medium,Efficient Method,20
Wheat,5,North America,Recycled,9011.19,Other,0.3,Low,Efficient Method,20
Sofa,10,Australia,Industrial,96713.63,Other,0.5,Medium,Efficient Method,20
Bicycle,20,South America,Organic,281286.73,Other,0.6,Medium-High,Efficient Method,20
Cotton Shirt,10,North America,Handmade,26671.57,Other,0.3,Low,Efficient Method,20
Corn,10,Asia,Organic,11700.87,Other,0.7,High,Efficient Method,20
Steel,20,South America,Handmade,1091.01,Raw Material,0.6,Medium-High,Efficient Method,20
Wheat,50,Africa,Recycled,83638.19,Other,0.8,Very High,Efficient Method,20
Bicycle,100,Africa,Handmade,1352581.61,Other,0.8,Very High,Efficient Method,20
Chair,50,North America,Recycled,116830.54,Other,0.3,Low,Efficient Method,20
Tomatoes,1,North America,Recycled,230.13,Other,0.3,Low,Efficient Method,20
Wheat,20,Africa,Handmade,38946.7,Other,0.8,Very High,Efficient Method,20
Paper,10,North America,Handmade,99.66,Stationery,0.3,Low,Efficient Method,20
